Earth,green: 
bread,yellow:dough+fire;
brick,red:clay+fire;mud+fire;mud+sun;clay+sun;
bridge,dkgray:river+wood;river+metal;river+steel;
broom,white:wood+hay;
bullet,dkgray:gunpowder+metal;
bulletproof vest,white:bullet+armor;
bus,yellow:car+car;
butcher,dkred:human+meat;
butter,white:milk+pressure;energy+milk;
butterfly,green:flower+wild animal;
cactus,green:sand+plant;desert+plant;
cake,white:dough+candle;
camel,yellow:desert+horse;desert+wild animal;livestock+desert;
campfire,red:fire+wood;
candle,yellow:wax+thread;wax+fire;
candy cane,white:sugar+christmas tree;
cannon,dkgray:gunpowder+pirate ship;gunpowder+castle;
car,red:wheel+metal;
caramel,yellow:sugar+fire;
carbon dioxide,dkgray:human+oxygen;plant+night;tree+night;
carrot,red:snowman+vegetable;sun+snowman;
cart,gray:wheel+wood;
cashmere,dkgreen:tool+mountain goat;thread+mountain goat;fabric+mountain goat;scissors+mountain goat;wool+mountain goat;
castle,gray:house+knight;
cat,yellow:wild animal+milk;
catnip,white:cat+plant;
cauldron,dkgray:metal+witch;steel+witch;fireplace+witch;campfire+witch;
caviar,red:hard roe+human;
centaur,white:horse+human;
cereal,yellow:wheat+milk;
chain,gray:metal+rope;steel+rope;
chainsaw,gray:axe+electricity;
chameleon,green:lizard+rainbow;
charcoal,dkgray:tree+fire;wood+fire;
cheese,yellow:time+milk;
cheeseburger,yellow:cheese+hamburger;
chicken,white:livestock+bird;egg+livestock;bird+farmer;
chicken soup,yellow:water+chicken;
chicken wing,red:chicken+bone;
chimney,red:house+fireplace;smoke+brick;fireplace+brick;
christmas stocking,white:wool+fireplace;
christmas tree,green:light bulb+tree;tree+star;
cigarette,dkgray:tobacco+paper;
city,dkgray:village+village;skyscraper+skyscraper;
clay,dkred:sand+mud;
clock,magenta:time+electricity;time+wheel;time+tool;
cloud,white:air+steam;
coal,dkgray:pressure+plant;sun+snowman;
coconut,dkyellow:palm+fruit;
coconut milk,white:coconut+tool;milk+coconut;
coffin,gray:wood+corpse;
cold,cyan:human+rain;
computer,green:tool+nerd;electricity+nerd;wire+nerd;
computer mouse,gray:mouse+computer;
confetti,magenta:paper+blade;paper+scissors;
constellation,yellow:star+star;
continent,green:country+country;
cookie,yellow:dough+sugar;
corpse,yellow:human+gun;human+grim reaper;
cotton,white:plant+cloud;
country,green:city+city;
cow,white:grass+livestock;
crayon,red:rainbow+pencil;rainbow+wax;
crow,dkgray:bird+scarecrow;bird+field;
crystal ball,blue:witch+glass;wizard+glass;
cuckoo,dkgreen:clock+bird;
cyborg,green:human+robot;
cyclist,red:bicycle+human;
dam,gray:beaver+river;beaver+tree;beaver+wood;wall+river;
darth vader,dkgray:jedi+fire;jedi+lava;
day,yellow:sun+time;night+sun;time+night;sky+sun;
desert,yellow:sand+sand;sand+cactus;
dew,blue:fog+grass;water+grass;
diamond,cyan:pressure+coal;coal+time;
dinosaur,green:lizard+time;
doctor,white:human+hospital;
dog,yellow:wild animal+human;wolf+bone;
doghouse,red:dog+house;
don quixote,white:windmill+knight;
donut,yellow:dough+oil;
double rainbow!,red:rainbow+rainbow;
dough,yellow:water+flour;
dragon,red:lizard+fire;
drone,gray:airplane+robot;
drum,gray:wood+leather;
drunk,white:human+alcohol;beer+human;human+wine;
dry ice,cyan:carbon dioxide+cold;ice+carbon dioxide;
duck,yellow:water+bird;bird+pond;bird+lake;time+duckling;
duckling,yellow:egg+duck;
dune,yellow:sand+wind;desert+wind;beach+wind;
dust,gray:earth+air;sun+vampire;day+vampire;
dynamite,red:gunpowder+wire;
eagle,white:mountain+bird;
earthquake,white:earth+energy;earth+wave;
eclipse,dkgray:sun+moon;
egg,white:life+stone;bird+bird;turtle+turtle;lizard+lizard;
egg timer,white:egg+clock;egg+watch;
electric car,red:car+electricity;
electric eel,yellow:fish+electricity;
electrician,white:human+electricity;human+wire;
electricity,yellow:metal+energy;solar cell+sun;wind turbine+wind;light+solar cell;
email,white:letter+computer;letter+internet;
energy,yellow:air+fire;plant+sun;
engineer,white:human+tool;
eruption,red:volcano+energy;
excalibur,gray:sword+stone;
explosion,red:gunpowder+fire;
fabric,blue:thread+tool;
fairy tale,cyan:story+monarch;story+castle;knight+story;dragon+story;
family,white:human+house;
family tree,green:tree+family;
farm,red:farmer+house;farmer+barn;
farmer,white:field+human;human+plant;human+pitchfork;
faun,yellow:goat+human;
fence,white:wall+wood;
field,green:earth+tool;earth+farmer;
fire extinguisher,red:fire+carbon dioxide;pressure+carbon dioxide;metal+carbon dioxide;
fireman,red:human+fire;human+firetruck;
fireplace,red:house+campfire;campfire+brick;campfire+wall;
firetruck,red:fireman+car;
fireworks,red:explosion+sky;
fish,blue:hard roe+time;
fishing rod,gray:tool+fish;wood+fish;
flamethrower,red:fire+gun;
flashlight,yellow:tool+light;
flood,blue:rain+rain;rain+time;
flour,white:wheat+stone;windmill+wheat;
flower,green:plant+garden;
flute,dkyellow:wood+wind;
flying fish,blue:fish+bird;sky+fish;
flying squirrel,dkyellow:squirrel+bird;squirrel+wind;squirrel+airplane;sky+squirrel;
fog,gray:earth+cloud;
forest,dkgreen:tree+tree;
fortune cookie,yellow:paper+cookie;
fossil,dkgray:dinosaur+time;dinosaur+earth;stone+dinosaur;
fountain,cyan:statue+water;
fox,gray:chicken+wild animal;
frankenstein,dkgreen:zombie+electricity;electricity+corpse;
french fries,yellow:oil+vegetable;
fridge,white:metal+cold;electricity+cold;metal+ice;
frog,green:wild animal+pond;
fruit,red:tree+farmer;sun+tree;
fruit tree,green:fruit+tree;
galaxy,dkblue:star+star;
garden,green:plant+plant;plant+grass;house+grass;flower+flower;
gardener,green:human+garden;
geyser,gray:steam+earth;
ghost,white:graveyard+night;castle+night;
gift,red:santa+christmas tree;santa+christmas stocking;santa+cookie;santa+chimney;santa+fireplace;
gingerbread house,dkyellow:house+dough;house+gingerbread man;
gingerbread man,dkyellow:life+dough;
glacier,white:ice+mountain;
glass,cyan:fire+sand;sand+electricity;
glasses,white:glass+metal;glass+glass;
gnome,red:garden+statue;
goat,white:livestock+mountain;
godzilla,dkgreen:dinosaur+city;
gold,yellow:metal+sun;metal+rainbow;
golem,yellow:clay+life;
granite,white:lava+pressure;
grass,green:plant+earth;
grave,gray:coffin+earth;corpse+earth;
gravestone,gray:grave+stone;
graveyard,dkgray:grave+grave;gravestone+gravestone;
greenhouse,cyan:plant+glass;
grenade,dkgreen:explosion+metal;
grilled cheese,yellow:cheese+toast;
grim reaper,dkgray:human+scythe;corpse+scythe;
gun,gray:metal+bullet;
gunpowder,dkgray:fire+dust;
hail,white:rain+ice;ice+storm;ice+cloud;
ham,red:meat+smoke;
hamburger,yellow:meat+bread;
hammer,gray:metal+wood;
hamster,dkyellow:wheel+mouse;
hard roe,red:egg+water;fish+fish;egg+sea;egg+ocean;egg+pond;
harp,dkyellow:angel+music;
hay,yellow:grass+scythe;farmer+grass;grass+sun;
hay bale,yellow:hay+hay;
hedge,dkgreen:plant+fence;leaf+fence;
helicopter,gray:blade+airplane;windmill+airplane;
hero,yellow:knight+dragon;
hippo,dkgray:horse+river;horse+water;
hiroshima,gray:atomic bomb+city;
honey,yellow:bee+flower;bee+beehive;
horizon,blue:sky+earth;sea+sky;ocean+sky;
horse,dkyellow:hay+livestock;
horseshoe,dkgray:metal+horse;
hospital,red:house+sickness;house+ambulance;house+doctor;
hourglass,yellow:sand+glass;
house,red:wood+human;human+brick;tool+brick;wall+wall;
human,yellow:earth+life;life+dust;
hummingbird,magenta:bird+flower;
hurricane,cyan:wind+energy;
husky,white:snow+dog;ice+dog;
ice,cyan:water+cold;
ice cream,white:milk+cold;milk+ice;
ice cream truck,white:car+ice cream;
iceberg,cyan:sea+ice;ocean+ice;sea+antarctica;ocean+antarctica;
iced tea,dkyellow:ice+tea;cold+tea;
idea,white:human+light bulb;light bulb+nerd;
igloo,white:house+ice;house+snow;
internet,green:computer+computer;computer+wire;computer+web;
isle,red:ocean+volcano;volcano+sea;
ivy,green:plant+wall;
jack-o'-lantern,red:pumpkin+fire;blade+pumpkin;pumpkin+candle;
jam,red:juice+sugar;
jedi,white:lightsaber+human;knight+lightsaber;
jerky,dkred:meat+sun;meat+salt;
juice,yellow:water+fruit;pressure+fruit;
kite,red:wind+paper;sky+paper;
knight,gray:human+armor;
lake,blue:water+pond;river+dam;
lamp,yellow:metal+light bulb;
lasso,dkyellow:cow+rope;horse+rope;
lava,red:earth+fire;
lava lamp,red:lava+lamp;
lawn mower,red:grass+tool;electricity+scythe;
leaf,green:tree+wind;
leather,dkyellow:cow+blade;pig+blade;
lemonade,yellow:fruit+water;
letter,white:paper+pencil;
life,white:swamp+energy;love+time;
light,yellow:light bulb+electricity;electricity+flashlight;
light bulb,yellow:electricity+glass;
lighthouse,red:light+house;light+beach;light+ocean;light+sea;
lightsaber,greenn:light+sword;energy+sword;electricity+sword;
lion,yellow:wild animal+cat;
livestock,white:farmer+life;wild animal+human;farmer+wild animal;
lizard,green:egg+swamp;
log cabin,dkyellow:wood+house;
love,magenta:human+human;
lumberjack,white:axe+human;human+chainsaw;
mac and cheese,yellow:cheese+pasta;
mailman,white:human+letter;
manatee,gray:cow+sea;
map,white:paper+earth;
mars,red:rust+planet;
marshmallows,white:sugar+campfire;
mayonnaise,white:egg+oil;
meat,red:cow+tool;pig+tool;blade+livestock;cow+butcher;pig+butcher;livestock+butcher;
medusa,dkgray:human+snake;
mermaid,blue:human+fish;
metal,gray:fire+stone;
meteor,gray:meteoroid+atmosphere;sky+meteoroid;
meteoroid,gray:stone+space;
microscope,gray:glass+bacteria;bacteria+glasses;
milk,white:farmer+cow;cow+human;
milk shake,white:milk+ice cream;
minotaur,dkyellow:human+cow;
mirror,cyan:glass+metal;
mold,green:time+bread;
monarch,yellow:human+castle;excalibur+human;
money,green:paper+gold;
monkey,dkyellow:tree+wild animal;
moon,white:sky+cheese;sky+stone;
moss,green:plant+stone;algae+stone;
moth,dkgreen:moon+butterfly;night+butterfly;
motorcycle,gray:bicycle+energy;bicycle+steel;
mountain,white:earthquake+earth;
mountain goat,dkgray:mountain+goat;goat+mountain range;
mountain range,white:mountain+mountain;
mouse,gray:cheese+wild animal;
mousetrap,gray:wood+cheese;metal+cheese;
mud,dkyellow:water+earth;
mummy,white:corpse+pyramid;
music,white:human+flute;human+sound;
narwhal,blue:unicorn+ocean;unicorn+water;sea+unicorn;
needle,dkgray:metal+thread;metal+hay;
nerd,white:human+glasses;
nest,dkyellow:bird+tree;bird+hay;egg+hay;
newspaper,white:paper+paper;
night,dkgray:moon+time;time+day;sky+moon;
ninja,dkgray:shuriken+human;
oasis,blue:desert+water;tree+desert;desert+palm;
obsidian,dkgray:lava+water;
ocean,blue:water+sea;sea+sea;
oil,dkgray:sunflower+pressure;
omelette,yellow:egg+fire;
optical fiber,dkgray:wire+light;
orchard,green:fruit tree+fruit tree;field+fruit tree;
origami,white:bird+paper;
ostrich,magenta:bird+earth;bird+sand;
owl,dkgray:night+bird;bird+wizard;
oxygen,cyan:plant+sun;plant+carbon dioxide;
ozone,cyan:oxygen+oxygen;electricity+oxygen;
paint,white:water+rainbow;water+pencil;
palm,green:isle+tree;tree+beach;
paper,white:wood+pressure;
paper airplane,white:airplane+paper;
parachute,gray:pilot+fabric;pilot+umbrella;
parrot,green:bird+pirate;
pasta,yellow:flour+egg;
peacock,green:bird+rainbow;
pegasus,white:bird+horse;sky+horse;bird+unicorn;
pencil,yellow:wood+coal;wood+charcoal;
pencil sharpener,gray:blade+pencil;
penguin,white:ice+wild animal;ice+bird;bird+snow;
penicillin,white:doctor+mold;
perfume,magenta:water+rose;water+flower;steam+rose;steam+flower;alcohol+rose;alcohol+flower;
petroleum,dkgray:fossil+time;fossil+pressure;
phoenix,blue:fire+bird;
picnic,dkyellow:grass+sandwich;beach+sandwich;
pie,yellow:dough+fruit;
pig,magenta:livestock+mud;
pigeon,gray:bird+city;bird+letter;bird+statue;
piggy bank,magenta:pig+money;pottery+pig;
pilot,white:airplane+human;seaplane+human;
pinocchio,red:wood+life;
pipe,gray:tobacco+wood;
piranha,dkcyan:fish+blood;
pirate,gray:sword+sailor;sailor+pirate ship;
pirate ship,dkyellow:sailboat+pirate;boat+pirate;
pitchfork,gray:tool+hay;
pizza,yellow:cheese+dough;
planet,blue:earth+space;
plankton,green:water+life;ocean+life;sea+life;
plant,green:rain+earth;
platypus,gray:beaver+duck;
pond,blue:water+garden;
popsicle,gray:juice+ice;juice+cold;
pottery,red:fire+clay;clay+wheel;clay+tool;
pressure,white:earth+earth;air+air;
printer,gray:paper+computer;
prism,white:glass+rainbow;
pterodactyl,yellow:air+dinosaur;bird+dinosaur;
puddle,cyan:sun+ice;sun+snowman;snowman+flamethrower;
pumpkin,red:vegetable+fire;vegetable+light;
pyramid,yellow:desert+grave;desert+stone;
quicksand,yellow:sand+swamp;
rain,cyan:water+air;cloud+water;
rainbow,red:rain+sun;rain+light;
rat,dkgray:wild animal+pirate ship;sailboat+wild animal;
recipe,white:flour+paper;paper+baker;
reindeer,dkyellow:santa+wild animal;livestock+santa;
ring,yellow:diamond+metal;diamond+gold;
river,blue:mountain+water;rain+mountain;
robot,gray:metal+life;steel+life;life+armor;
rocket,white:airplane+space;
roller coaster,red:train+mountain;mountain+cart;
roomba,dkgray:robot+vacuum cleaner;
rope,gray:thread+thread;
rose,red:plant+love;flower+love;
ruins,dkyellow:time+castle;time+house;
ruler,white:wood+pencil;
rust,dkred:air+metal;metal+oxygen;steel+oxygen;air+steel;
rv,red:house+car;
saddle,dkyellow:horse+leather;
safe,gray:metal+money;metal+gold;steel+money;steel+gold;
safety glasses,white:tool+glasses;explosion+glasses;engineer+glasses;
sailboat,white:boat+wind;boat+fabric;
sailor,white:human+boat;human+sailboat;
salt,white:sea+sun;ocean+sun;fire+sea;fire+ocean;
sand,yellow:air+stone;wind+stone;
sand castle,yellow:sand+castle;
sandpaper,yellow:sand+paper;
sandstone,yellow:stone+sand;
sandstorm,yellow:sand+storm;sand+hurricane;sand+energy;
sandwich,yellow:bread+ham;cheese+bread;bread+bacon;
santa,red:human+christmas tree;
scalpel,gray:blade+doctor;blade+hospital;
scarecrow,yellow:human+hay;
scissors,gray:blade+blade;
scorpion,dkgray:wild animal+dune;wild animal+sand;
scythe,dkgray:blade+grass;blade+wheat;
sea,blue:water+water;
seagull,white:bird+sea;bird+ocean;bird+beach;
seahorse,dkyellow:horse+sea;ocean+horse;fish+horse;
seal,gray:dog+sea;
seaplane,white:airplane+water;airplane+ocean;airplane+sea;
seasickness,dkgreen:sickness+sea;sickness+ocean;boat+sickness;steamboat+sickness;sailboat+sickness;
seaweed,dkgreen:plant+sea;plant+ocean;
sewing machine,gray:electricity+needle;robot+needle;
shark,gray:blood+ocean;sea+blood;ocean+wild animal;sea+wild animal;
sheep,white:cloud+livestock;
sheet music,white:paper+music;
shuriken,dkgray:star+blade;
sickness,green:human+rain;human+sickness;human+sickness;human+bacteria;
skateboard,gray:snowboard+wheel;
skeleton,white:corpse+time;bone+bone;
ski goggles,cyan:glasses+snow;
sky,cyan:air+cloud;
skyscraper,gray:house+sky;
sledge,white:snow+cart;snow+wagon;
sloth,white:wild animal+time;
smog,gray:smoke+fog;fog+city;
smoke,gray:fire+wood;
smoke signal,gray:campfire+fabric;smoke+fabric;
smoothie,white:fruit+blender;
snake,green:wild animal+wire;
snow,white:rain+cold;steam+cold;
snow globe,white:snow+crystal ball;
snowball,white:snow+human;
snowboard,gray:wood+snow;snow+surfer;
snowman,white:snow+human;snowball+snowball;snow+carrot;snowball+carrot;
snowmobile,dkgray:snow+motorcycle;snow+car;
soap,white:oil+ash;
soda,cyan:water+carbon dioxide;juice+carbon dioxide;
solar cell,gray:sun+tool;
solar system,blue:sun+planet;
sound,white:air+wave;
space,dkgray:sky+star;sun+star;moon+star;
space station,dkgray:space+house;
spaceship,gray:airplane+astronaut;
sphinx,yellow:human+lion;
spider,dkgray:wild animal+thread;
sprinkles,red:sugar+confetti;
squirrel,dkyellow:mouse+tree;
star,yellow:sky+night;night+telescope;
starfish,yellow:fish+star;sea+star;ocean+star;
statue,gray:stone+tool;human+medusa;
steak,red:meat+bbq;fire+cow;
steam,gray:water+fire;water+energy;
steam engine,gray:boiler+tool;boiler+wheel;
steamboat,white:steam engine+water;steam engine+boat;
steel,gray:metal+coal;
steel wool,gray:steel+wool;wire+wool;
stethoscope,gray:tool+doctor;
stone,gray:air+lava;
storm,dkgray:energy+cloud;cloud+electricity;
story,white:human+campfire;
sugar,white:fruit+energy;juice+fire;juice+energy;
sun,yellow:fire+sky;
sundial,gray:clock+sun;
sunflower,yellow:plant+sun;flower+sun;
sunglasses,dkgray:sun+glasses;beach+glasses;
super nova,red:explosion+star;
surfer,white:human+wave;
sushi,red:fish+seaweed;caviar+seaweed;
swamp,dkgreen:mud+plant;mud+grass;
sweater,dkred:wool+tool;human+wool;
swim goggles,cyan:glasses+water;
swimmer,cyan:human+swim goggles;
sword,gray:blade+metal;blade+steel;
swordfish,gray:fish+sword;
tank,dkgreen:car+armor;car+gun;
taser,cyan:gun+electricity;
tea,green:water+leaf;
telescope,dkgray:glass+sky;glass+star;glass+space;
tent,dkyellow:wood+fabric;house+fabric;
thread,dkblue:cotton+tool;wheel+wool;
tide,cyan:sea+moon;ocean+moon;
time,magenta:sand+glass;
titanic,gray:steamboat+iceberg;
toast,yellow:sandwich+fire;bread+fire;
tobacco,dkgray:plant+fire;
tool,gray:metal+human;
toucan,white:bird+rainbow;
tractor,green:farmer+car;field+car;
train,dkgray:steam engine+steel;steam engine+metal;steam engine+wheel;steam engine+wagon;
treasure,yellow:pirate+treasure map;
treasure map,yellow:pirate+map;
tree,green:plant+time;
treehouse,dkyellow:tree+house;
trojan horse,dkyellow:horse+wood;
tsunami,blue:ocean+earthquake;sea+earthquake;
tunnel,dkgray:engineer+mountain;
turtle,dkgreen:egg+sand;
twilight,dkyellow:day+night;
tyrannosaurus rex,green:meat+dinosaur;
ufo,green:rocket+alien;airplane+alien;
umbrella,red:tool+rain;rain+fabric;
unicorn,white:rainbow+horse;rainbow+life;double rainbow!+horse;double rainbow!+life;
vacuum cleaner,gray:electricity+broom;
vampire,red:human+blood;human+vampire;human+vampire;
vase,cyan:plant+pottery;pottery+flower;
vegetable,green:field+fruit;
village,dkyellow:house+house;
volcano,red:lava+earth;lava+mountain;fire+mountain;
vulture,gray:bird+corpse;
wagon,dkyelow:cart+horse;
wall,red:brick+brick;
wand,dkblue:wizard+wood;
warrior,gray:sword+human;
watch,gray:human+clock;
water gun,cyan:water+gun;
water lily,green:flower+pond;
water pipe,cyan:water+pipe;
waterfall,cyan:mountain+river;
wave,blue:sea+wind;ocean+wind;
wax,yellow:bee+beehive;
web,white:spider+thread;
werewolf,dkgray:wolf+human;werewolf+human;werewolf+human;
wheat,yellow:field+farmer;plant+farmer;
wheel,dkyellow:tool+wood;
wild animal,gray:forest+life;
wild boar,dkyellow:pig+wild animal;pig+forest;
wind,cyan:pressure+air;air+energy;
wind turbine,gray:windmill+electricity;
windmill,red:house+wind;wheel+wind;
wine,dkcyan:fruit+alcohol;
wire,yellow:electricity+metal;
witch,dkgray:wizard+broom;human+broom;
wizard,cyan:human+energy;
wolf,gray:wild animal+dog;wild animal+moon;dog+forest;
wood,dkyellow:tool+tree;
woodpecker,red:bird+wood;
wool,white:sheep+tool;scissors+sheep;
world,blue:continent+continent;continent+ocean;
wrapping paper,white:gift+paper;
yoda,green:jedi+swamp;
yogurt,white:milk+bacteria;
zombie,green:corpse+life;human+zombie;
